№,Name:,Image Url:,desc,Price:
1,"KIA K5, 2020",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8285_img-20240215-wa0008_ths.jpg,"KIA K5, 2020


Коробка передач: АКПП",$ 17950
2,"KIA Sorento, 2022",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8284_img-20240214-wa0143_ths.jpg,"KIA Sorento, 2022


Тип топлива: БензинКоробка передач: АКПП",$ 43000
3,"KIA Optima, 2019",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8283_img-20240214-wa0129_ths.jpg,"KIA Optima, 2019


Тип топлива: БензинКоробка передач: АКПП",$ 15000
4,"Lexus RX, 2006",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8282_img_20240214_212723358_ths.jpeg,"Lexus RX, 2006


Тип топлива: ГибридКоробка передач: АКПП",$ 14900
5,"Hyundai Genesis, 2018",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8281_img_2608_ths.jpg,"Hyundai Genesis, 2018


Тип топлива: БензинКоробка передач: АКПП",$ 32000
6,"Hyundai Grandeur, 2017",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8280_img_20240214_173753_ths.jpg,"Hyundai Grandeur, 2017


Тип топлива: БензинКоробка передач: АКПП",$ 17500
7,"Subaru Legacy, 2002",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8277_img_20240214_142510_ths.jpg,"Subaru Legacy, 2002


Тип топлива: БензинКоробка передач: АКПП",$ 6500
8,"Toyota Camry, 2012",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8275_img_20240214_130620_ths.jpg,"Toyota Camry, 2012


Тип топлива: БензинКоробка передач: АКПП",$ 14900
9,"Toyota Ist, 2003",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8274_img_20240214_112047_ths.jpg,"Toyota Ist, 2003


Тип топлива: БензинКоробка передач: АКПП",$ 6200
10,"KIA MORNING, 2017",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8273_img-20240214-wa0014_ths.jpg,"KIA MORNING, 2017


Тип топлива: БензинКоробка передач: АКПП",$ 9600
11,"Lexus LX, 2023",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8272_img-20240213-wa0041_ths.jpg,"Lexus LX, 2023


Тип топлива: БензинКоробка передач: АКПП",$ 198000
12,"KIA RIO, 2020",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8271_img_20240213_105602641_ths.jpeg,"KIA RIO, 2020


Тип топлива: БензинКоробка передач: АКПП",$ 15000
13,"Lexus RX, 2015",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8270_img_20240212_153400_ths.jpg,"Lexus RX, 2015


Тип топлива: БензинКоробка передач: АКПП",$ 32000
14,"Toyota Prius, 2015",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8269_img_20240212_170407105_ths.jpeg,"Toyota Prius, 2015


Тип топлива: ГибридКоробка передач: АКПП",$ 13000
15,"Hyundai Solaris, 2014",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8268_img_20240212_160204008_ths.jpeg,"Hyundai Solaris, 2014


Тип топлива: БензинКоробка передач: МКПП",Сом 510000
16,"Mitsubishi Outlander, 2007",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8267_3b19_ths.jpg,"Mitsubishi Outlander, 2007


Тип топлива: Газ-БензинКоробка передач: АКПППробег ( км ): 130000",$ 15500
17,"KIA K5, 2011",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8266_img_20240212_124708615_ths.jpeg,"KIA K5, 2011


Коробка передач: АКПП",$ 11800
18,"Mazda Demio, 2003",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8265_whatsapp_image_2024-02-12_at_08.28.45_ths.jpeg,"Mazda Demio, 2003


Тип топлива: БензинКоробка передач: АКПП",$ 5000
19,"KIA Sportage, 2018",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8264_img-20240211-wa0074_ths.jpg,"KIA Sportage, 2018


Тип топлива: ДизельКоробка передач: АКПП",$ 22500
20,"KIA Sportage, 2023",https://www.//auto312.kg/components/com_djclassifieds/images/item/8/8263_img_20240211_220548017_ths.jpeg,"KIA Sportage, 2023


Тип топлива: БензинКоробка передач: АКПП",$ 33500
